Project Name (Link),Valuation,GC: Company Name,County,Target Start Date,Target Completion Date,Primary Project Type,Owner: Company Name,Owner: Company Phone,Work Type,Address,City,GC: Company Phone,GC: Company Address,GC: Company City,GC: Contact Name,GC: Company County,GC: Company Email,Delivery System,Specs Available,GC: Company Website,Tags (Private),Tags (Shared),User Notes,Comments
Belmont Salson Trail Culvert Replacement,$ 554321,Westrock General Engineering,SAN MATEO,2025-07-01,,Storm Sewer,City of Belmont,6505957463.0,"Alterations, New Project",Salson Trail,BELMONT,6614964265.0,1313 Linda Kay St,Bakersfield,,KERN,westrock001@gmail.com,Design-Bid-Build,Y,,,,,
New Neighborhood J Elementary School L/LB,$ 61000000,Roebbelen Contracting,SAN JOAQUIN,2025-06-01,,Primary School,Lammersville School District,2098367400.0,New Project,Calabria Dr,MOUNTAIN HOUSE,9169391113.0,201 MISSION ST FL 12,SAN FRANCISCO,,SAN FRANCISCO,estimating@roebbelen.com,Design-Bid-Build,Y,https://www.roebbelen.com/,,,,
RFP/DB: NASA Engineering & Mission Operations Bldg,$ 33000000 - $ 43000000,,SANTA CLARA,,,Office,General Services Administration,2157563439.0,New Project,Moffett Blvd,MOUNTAIN VIEW,,,,,,,Design/Build,N,,,,,
Holmes Park Restroom Replacement,$ 543693,"Puma Construction Co., Inc.",SAN JOAQUIN,2025-07-01,,Miscellaneous Recreational,City of Fresno Purchasing,5596211169.0,"Alterations, New Project",1718 Ralph Ave,STOCKTON,5592756100.0,4387 W Santa Ana Ave Ste 103,Fresno,,FRESNO,info@dkiservices.com,Design-Bid-Build,Y,https://www.dki-pumaconstruction.com/,,,,
Arista Development Engineering Office & Parking Garage,$ 146000000,Devcon Construction Inc.,SANTA CLARA,2025-07-01,2027-07-01,Office,Arista Networks Inc (Arista Networks),6508888885.0,New Project,5200 Patrick Henry Dr,SANTA CLARA,4089428200.0,690 Gibraltar Dr,Milpitas,,SANTA CLARA,contact@devcon-const.com,Design-Bid-Build,N,http://devcon-const.com/,,,,
East Blithedale Guardrail Upgrade REBID,$ 1100000,,MARIN,2025-08-01,,Highway Signs/Guardrails,City of Mill Valley Public Works Dept,4153844755.0,"Alterations, New Project",E Blithedale Ave,MILL VALLEY,,,,,,,Owner Uses Own Forces,N,,,,,
Mountain View - Water & Sewer Main Replacements IQC,$ 9000000,Builders Exchange of Alameda County,SANTA CLARA,2025-08-01,,Water Line,City of Mountain View,6509036300.0,"Alterations, New Project",,Mountain View,5104838880.0,3055 Alvarado St,San Leandro,,ALAMEDA,planroon@bayareabx.com,Design-Bid-Build,Y,https://bayareabx.com,,,,
CRP ADA Transition Annual Plan FY23 IQC,$ 750000,,ALAMEDA,2025-07-01,,Sidewalk/Parking Lot,University of California Berkeley,5106645203.0,"Alterations, New Project",Gayley Rd 2700 Hearst Ave,BERKELEY,,,,,,,Design-Bid-Build,N,,,,,
Brooklyn Basin Assisted Living Parcel E,$ 25000000 - $ 49999999,SRM Development,ALAMEDA,2025-07-01,2027-07-01,Elderly/Assisted Living,,,New Project,288 9th Ave Brooklyn Basin Way,OAKLAND,5094555477.0,111 N Post St Ste 200,Spokane,,SPOKANE,,Owner Subcontracting,N,http://www.srmdevelopment.com/,,,,
"Motel - San Francisco, CA",$ 10000000 - $ 14999999,,SAN MATEO,2025-08-01,,Hotel/Motel,Shree Hospitality Hotel,6502194745.0,New Project,915 Airport Blvd,SOUTH SAN FRANCISCO,,,,,,,Design-Bid-Build,N,,,,,
Alameda Co Eden Area Resurfacing,$ 2357465,Radius Earthworks Inc.,ALAMEDA,2025-07-01,2025-09-01,Paving,Alameda County,5102089770.0,"Alterations, New Project",Various Locations,HAYWARD,4084293086.0,197 E Hamilton Ave,Campbell,,SANTA CLARA,gabriel@radiusearthwork.com,Design-Bid-Build,N,,,,,
Proctor Road Paving Sidewalk & Utility Improvements,$ 2605059,FBD Valguard Construction,ALAMEDA,2025-05-01,2026-01-01,Paving,Alameda County,5106705480.0,"Alterations, New Project",Camino Alta Mira Various Location,CASTRO VALLEY,9252451300.0,550 Greenville Rd,Livermore,Mr. Billie Sposeto,ALAMEDA,dsposeto@vc-inc.net,Design-Bid-Build,N,http://vc-inc.net/,,,,
Transbay Block 2 East Affordable Housing,$ 74471078,"Rubecon Builders, Inc.",SAN FRANCISCO,2024-06-01,2026-06-01,Apartments/Condominiums 4  Stories,Mercy Housing California - San Francisco,4153557100.0,New Project,200 Folsom St,SAN FRANCISCO,4152067740.0,3450 3rd St Ste 1b,San Francisco,,SAN FRANCISCO,office@rubecon.com,Design-Bid-Build,N,https://www.rubecon.com/,,,,
Ben Lomond Transfer Station Improvements,$ 7800000,,SANTA CRUZ,2025-07-01,,Dry Waste Treatment Plant,County of Santa Cruz,8314542160.0,"Alterations, New Project",9835 Newell Creek Rd,BEN LOMOND,,,,,,,Design-Bid-Build,Y,,,,,
Yosemite Avenue Sidewalk Infill Waterline & Overlay,$ 1049780,"Yancy-Gwerder, Inc.",SAN JOAQUIN,2025-07-01,,Sidewalk/Parking Lot,City of Escalon,2096917442.0,"Alterations, New Project",Yosemite Ave Various Locations,ESCALON,9162080907.0,Po Box 581507,Elk Grove,,SACRAMENTO,,Design-Bid-Build,N,,,,,
BART Silicon Valley Ph II Ext Tunnel & Trackwork CP2,$ 235000000,JF Shea Construction Inc.,SANTA CLARA,2024-06-01,2034-08-01,Vehicle Tunnel,Santa Clara Valley Transportation Authority (VTA),4083212300.0,New Project,2830 De La Cruz Blvd,SANTA CLARA,9252453660.0,2580 SHEA CENTER DR,LIVERMORE,,ALAMEDA,jake.finlay@sheahomes.com,Design/Build,N,http://www.jfsheaconstruction.com/,MADE CONTACT | REACH OUT,,,
San Jose International Airport pavement Works IQC,$ 3000000,,SANTA CLARA,2025-08-01,,Paving,City of San Jose,4085358300.0,"Alterations, New Project",1701 Airport Blvd,SAN JOSE,,,,,,,Design-Bid-Build,Y,,,,,
Wildcat Canyon Road Slope Failure Repair,$ 2090191,"Gordon N. Ball, Inc",CONTRA COSTA,2025-07-01,,Site Development,County of Contra Costa,8443598687.0,"Alterations, New Project",Wildcat Canyon Rd,MARTINEZ,9258385675.0,1777 Oakland Blvd Ste 300,Walnut Creek,,CONTRA COSTA,,Design-Bid-Build,N,http://www.ballconco.com,,,,
Sunnydale Hope Block 7 Affordable Housing & Parking Garage,$ 25000000 - $ 49999999,Cahill Contractors,SAN FRANCISCO,2025-07-01,2027-07-01,Apartments/Condominiums 4  Stories,Mercy Housing California - San Francisco,4153557100.0,New Project,1501 Sunnydale Ave,SAN FRANCISCO,4159860600.0,425 California St Ste 2200,San Francisco,Wendy Kirton,SAN FRANCISCO,estimating@cahill-sf.com,Construction Management at Risk,Y,https://cahill-sf.com/,,,,
1598 University Avenue Mixed-Use Development,$ 25000000 - $ 49999999,"Synergy, Inc.",ALAMEDA,2024-09-01,2025-10-01,Apartments/Condominiums 4  Stories,NX Ventures,5106922994.0,New Project,1598 University Ave,BERKELEY,4254884500.0,14040 NE 181st St,Woodinville,Justin Stewart,KING,info@synergyi.com,Design-Bid-Build,N,http://www.synergyi.com/,,,,
BUSD Workforce Housing,$ 25000000 - $ 49999999,James E. Roberts - Obayashi Corp.,ALAMEDA,2025-07-01,2027-02-01,Apartments/Condominiums 4  Stories,Satellite Affordable Housing Associates - SAHA,5106470700.0,New Project,1701 San Pablo Ave,BERKELEY,9258200600.0,20 Oak Ct,Danville,Scott Smith,CONTRA COSTA,scott.smith@jerocorp.com,,N,http://www.jerocorp.com,,,,
Palo Alto High School Parking Lot Improvements,$ 758827,JP Paving & Grading,SANTA CLARA,2025-07-01,,Sidewalk/Parking Lot,Palo Alto Unified School District,9259150008.0,"Alterations, New Project",50 Embarcadero Rd,PALO ALTO,4084360616.0,1450 Koll Cir,San Jose,,SANTA CLARA,estelataylor@jppaving.com,Design-Bid-Build,N,http://www.jppaving.com/,,,,
Blue Oak Square Apartments - Affordable Housing,$ 25000000 - $ 49999999,"Concore Development Group, Inc",CONTRA COSTA,2023-05-01,2025-07-01,Apartments/Condominiums 4  Stories,,,New Project,2400 Willow Pass Rd,CONCORD,5058030218.0,1694 Tammy Ln,Concord,,CONTRA COSTA,,Design-Bid-Build,N,,,,,
New Ukiah Courthouse - Design/Build,$ 144924000,,MENDOCINO,2025-08-01,2027-08-01,Capitol/ Courthouse/City Hall,Mendocino County,7072346650.0,New Project,309 E Perkins St,UKIAH,,,,,,,Design/Build,Y,,,,,
UCSF Bakar Research and Academic Building,$ 643000000,,SAN FRANCISCO,2024-01-01,,Testing/Research/Development Lab,University of California San Francisco,4154765343.0,New Project,505 Parnassus Ave,SAN FRANCISCO,,,,,,,Construction Management at Risk,N,,,,,
2024-2025 Sanitary Sewer Repairs Package I,$ 2270084,"SubTerra Construction, Inc.",SANTA CLARA,2025-07-01,,Sanitary Sewer,City of San Jose,4085353500.0,"Alterations, New Project",,SAN JOSE,4155651244.0,1350 Van Dyke Ave # 101,San Francisco,,SAN FRANCISCO,,Design-Bid-Build,Y,,FOLLOW UP,,,
900 El Camino Real Affordable Apartments,$ 5000000 - $ 9999999,,SAN MATEO,2025-06-01,2026-11-01,Apartments/Condominiums 4  Stories,LINC Housing (Limited Income Communities),5626841100.0,New Project,"900 El Camino Real 900, 876, 884 & 898 El Camino Real",BELMONT,,,,,,,,N,,,,,
Kifer and Scott Receiving Station Rebuild and Replacement,$ 117688674,DMZ Builders,SANTA CLARA,2025-08-01,,Electric Substation,City of Santa Clara,4086153004.0,"Alterations, New Project",2970 Lafayette St,SANTA CLARA,9258265766.0,1915 Mark Ct Ste 110,Concord,,CONTRA COSTA,contact@dmzbuilders.com,Design-Bid-Build,N,https://www.dmzbuilders.com/,,,,
300 De Haro Residential Building,$ 102581300,Thompson Builders Corporation,SAN FRANCISCO,2025-08-01,2027-07-01,Apartments/Condominiums 4  Stories,DM Development Partners LLC,4156925060.0,New Project,300 De Haro St,SAN FRANCISCO,4154568972.0,5400 Hanna Ranch Rd Po Box 6115,Novato,,MARIN,bids@tbcorp.com,Design-Bid-Build,N,http://www.tbcorp.com,PRIORITY | REACH OUT,,,
F & M Bank Branch,$ 6633884,"Mid-Cal Constructors, Inc",CONTRA COSTA,2025-07-01,,Bank,F & M Bank,2093672362.0,New Project,1823 N Main St,WALNUT CREEK,2099418421.0,3416 Newton Rd,Stockton,,SAN JOAQUIN,staci@midcalconstructors.com,,N,https://midcalconstructors.com/,,,,
Irene Drive & Vicinity Pipeline Replacement,$ 2417040,"KJ Woods Construction, Inc.",SOLANO,2025-07-01,,Water Line,Contra Costa Water District,9256888130.0,"Alterations, New Project",Irene Dr,VALLEJO,4157590506.0,Po Box 947,South San Francisco,,SAN MATEO,office@kjwoods.com,Design-Bid-Build,Y,https://www.kjwoods.com/,,,,
RFP/DB: New STEM Building & Life Science Building Renovation,$ 28000000,,SANTA CLARA,2025-08-01,,College/University,Gavilan Joint Community College District,4088484800.0,"Alterations, New Project",5055 Santa Teresa Blvd,GILROY,,,,,,,Design/Build,N,,,,,
La Vista Park REBID,$ 32850547,DeSilva Gates Construction LLC,ALAMEDA,2025-07-01,,Park/Playground,City of Hayward,5105834000.0,"Alterations, New Project",777 B St,HAYWARD,9258299220.0,11555 Dublin Blvd,Dublin,,ALAMEDA,mgates@desilvagates.com,Design-Bid-Build,N,https://desilvagates.com/,,,,
7 South Linden Apartments w/ Parking Garage,$ 50000000 - $ 75000000,SBI Builders Inc,SAN MATEO,2025-08-01,2028-05-01,Apartments/Condominiums 4  Stories,,,New Project,7 S Linden Ave,SOUTH SAN FRANCISCO,4085491303.0,710 W Julian St,San Jose,Paul Nuytien,SANTA CLARA,paul@sbibuilders.com,,N,http://www.sbibuilders.com/,,,,
PW Yard Fuel Station Replace,$ 7583300,Mitchell Engineering,SAN FRANCISCO,2025-07-01,2026-11-01,Vehicle Sales/Service,City & County of San Francisco,4155548200.0,"Alterations, New Project",2323 Cesar Chavez St,SAN FRANCISCO,4152271040.0,250 Executive Park Blvd Ste 4000,San Francisco,,SAN FRANCISCO,twelch@mitchell-engineering.com,Design-Bid-Build,Y,,,,,
RFQ/LLB: Buena Vista Horace Mann K-8 Modernization,$ 72400000,,SAN FRANCISCO,2026-05-01,,Primary School,San Francisco Unified School District,4153556979.0,New Project,3351 23rd St,SAN FRANCISCO,,,,,,,Design-Bid-Build,Y,,,,,
Mountain House Central Park Phase 2,$ 1000000 - $ 2999999,,SAN JOAQUIN,2025-07-01,,Theater/Auditorium,Mountain House Developers,2094689997.0,"Alterations, New Project",25 Main St,MOUNTAIN HOUSE,,,,,,,Design-Bid-Build,Y,,,,,
Sherman Oaks ES Ph1 New Gym Building-Bid Package 3,$ 3777347,Guerra Construction Group,SANTA CLARA,2025-07-01,,Athletic Facility,Campbell Union School District,4083644200.0,New Project,1800 Fruitdale Ave,SAN JOSE,4082792027.0,984 MEMOREX DR,SANTA CLARA,,SANTA CLARA,jc@guerraco.com,Design-Bid-Build,Y,http://guerraco.com/,,,,
Lincoln Technical Academy Relocatable Addition,$ 611110,Bobo Construction,SAN JOAQUIN,2025-08-01,,Miscellaneous Education Building,Lodi Unified School District,2099538000.0,New Project,542 E Pine St,LODI,9163853935.0,9728 Kent St,Elk Grove,,SACRAMENTO,nclark@boboconstructioninc.com,Design-Bid-Build,Y,http://www.boboconstructioninc.com/,,,,
Gretchen Talley Park - Phase III Improvements,$ 4435020,R & R Pacific Construction,SAN JOAQUIN,2025-08-01,,Park/Playground,City of Tracy,2098316235.0,"Alterations, New Project",1551 Dove Dr,TRACY,5306687525.0,619 1/2 Main St,Woodland,Estimating Department,YOLO,estimating@rrpaccon.com,Design-Bid-Build,Y,,,,,
Lammers Road Zone B Pump Station Improvements,$ 10914200,"Saboo, Inc.",SAN JOAQUIN,2025-07-01,2027-05-01,Sewage Treatment Plant,City of Tracy,2098316000.0,New Project,26560 S Lammers Rd,TRACY,9254184447.0,415 Beatrice Ct Ste H,Brentwood,,CONTRA COSTA,toheed@sabooinc.com,Design-Bid-Build,Y,http://www.mybuildingteam.com,,,,
House,$ 1108675,,SANTA CLARA,,,Sale/Spec Homes,Const With Style Inc,,New Project,3487 Ramstad Dr Lot # Lot 3,San Jose,,,,,,,,,,,,,
House,$ 914485,,SANTA CLARA,,,Sale/Spec Homes,Aiassa Designers,,New Project,2675 Carol Dr,San Jose,,,,,,,,,,,,,
Benjamin Holt Drive Water Main Replacement,$ 1300853,"D.A. Wood Construction, Inc.",SAN JOAQUIN,2025-08-01,,Water Line,San Joaquin Co. Public Works,2094683000.0,"Alterations, New Project",Benjamin Holt Dr Various location,STOCKTON,2094914970.0,601 Albers Rd,Modesto,,STANISLAUS,estimating@dawoodinc.com,Design-Bid-Build,N,http://www.dawoodinc.com/,,,,
Ravenswood City School District Office Improvements,$ 11062500,,SAN MATEO,2025-07-01,,Office,Ravenswood City School District,6503292800.0,New Project,2120 Euclid Ave,EAST PALO ALTO,,,,,,,Design-Bid-Build,Y,,,,,
Semiconductor Fabrication Facility,$ 50000000 - $ 75000000,"Silicon Valley Mechanical, Inc.",SANTA CLARA,2025-06-01,2026-07-01,Manufacturing Building,Infinera Corporation,4085725200.0,New Project,6373 San Ignacio Ave,SAN JOSE,4089430380.0,2115 Ringwood Ave,San Jose,Alex Sandoval,SANTA CLARA,svm@svminc.com,,N,http://svminc.com,,,,
House,$ 822385,,SANTA CLARA,,,Sale/Spec Homes,Anant Uttarwar,,New Project,5310 Rachaella Ln Lot # Lot 3,San Jose,,,,,,,,,,,,,
House,$ 722134,,SANTA CLARA,,,Sale/Spec Homes,Sbi Bldrs Inc,,New Project,6261 Evangeline Ct Lot # Lot 325,San Jose,,,,,,,,,,,,,
House,$ 580302,,SANTA CLARA,,,Sale/Spec Homes,Sbi Bldrs Inc,,New Project,6266 Evangeline Ct Lot # Lot 323,San Jose,,,,,,,,,,,,,
Concord City - 1950 Parkside Drive Street Maintenance,$ 1372530,,CONTRA COSTA,2025-08-01,2025-09-01,Paving,City of Concord Public Works,9256713243.0,"Alterations, New Project",1950 Parkside Dr,CONCORD,,,,,,,Design-Bid-Build,N,,,,,
2025 Meadows Basin 7a North Sewer Replacement,$ 2098210,Apb General Engineering,SOLANO,2025-08-01,,Sanitary Sewer,Vallejo Sanitation & Flood Control Dist,7075583416.0,"Alterations, New Project",,VALLEJO,9259891453.0,2721 Kevin Rd,San Pablo,,CONTRA COSTA,,Design-Bid-Build,N,,,,,
Dublin Elementary School Phase 2/Increment 2 -L/LB,$ 15000000,"Alten Construction, LLC",ALAMEDA,2025-07-01,,Primary School,Dublin Unified School District,9258282551.0,"Alterations, New Project",7997 Vomac Rd,DUBLIN,5102344200.0,1141 Marina Way S,Richmond,,CONTRA COSTA,bids@altenconstruction.com,Design-Bid-Build,Y,https://www.altenconstruction.com,,,,
Alamo Elementary School - Play Yard Improvements REBID,$ 848000,,SAN FRANCISCO,,,Primary School,San Francisco Unified School District,4152654262.0,"Alterations, New Project",250 23rd Avenue,San Francisco,,,,,,,Design-Bid-Build,Y,,,,,
Bascom Station Office & Parking Garage,$ 70000000,Charles Pankow Builders Ltd.,SANTA CLARA,2022-04-01,2025-11-01,Office,Bay West Development Services,4155527700.0,New Project,1410 S Bascom Ave,SAN JOSE,6263041190.0,199 S Los Robles Ave Ste 300,Pasadena,,EASTERN LA COUNTY,bids@pankow.com,Construction Management at Risk,N,http://www.pankow.com,FOLLOW UP,,,
El Camino Health Rehabilitation Hospital,$ 15000000 - $ 24999999,Truebeck Construction (SF),SANTA CLARA,2025-05-01,2027-05-01,Nursing/Convalescent Center,PMB LLC,8587941900.0,New Project,1027 W El Camino Real,SUNNYVALE,4153234550.0,64 Townsend St,San Francisco,,SAN FRANCISCO,,,N,https://www.truebeck.com/,,,,
CA/DOT: Fiber Optic Cable Systems Installation,$ 63000000,,ALAMEDA,2025-09-01,,Communication Lines,State of California Department of Transportation,9166542852.0,New Project,Various Location,LIVERMORE,,,,,,,Design-Bid-Build,N,,,,,
Fort Bragg Ice House Improvements,$ 704900,Akeef Construction,MENDOCINO,2025-07-01,,Warehouse (Refrigerated),Noyo Harbor District,7079644719.0,"Alterations, New Project",19101 S Harbor Dr,FORT BRAGG,7079647346.0,18901 Trillium Ln,Fort Bragg,,MENDOCINO,,Design-Bid-Build,Y,,,,,
Eureka Canyon Road 0.35 Storm Damage Repair,$ 565852,Conley General Enginering,SANTA CRUZ,2025-07-01,,Storm Sewer,County of Santa Cruz,8314542580.0,"Alterations, New Project",140 Eureka Canyon Rd,WATSONVILLE,8314298111.0,1017 SMITH GRADE,SANTA CRUZ,Sharon Conley,SANTA CRUZ,,Design-Bid-Build,N,,,,,
2025 San Carlos Sewer Rehabilitation,$ 3058576,"C2R Engineering, Inc.",SAN MATEO,2025-07-01,,Sanitary Sewer,City of San Carlos,6508024196.0,"Alterations, New Project",Eaton Ave Various Locations,SAN CARLOS,4155592841.0,Po Box 1017,Mountain View,,SANTA CLARA,info@c2rengineering.com,Design-Bid-Build,Y,http://www.c2rengineering.com/,,,,
House,$ 750000,,CONTRA COSTA,,,Sale/Spec Homes,Richard Carvin,,New Project,157 Montair Dr,Danville,,,,,,,,,,,,,
New Mixeduse Building,$ 8526501,Uprite Const Corp,SANTA CLARA,2025-06-01,,Apartments/Condominiums 1-3 Stories,,,New Project,2925 S King Rd,SAN JOSE,9498778877.0,2355 State St Ste 101b,Salem,,MARION,,,N,,,,,
The Magnolias Affordable Housing,$ 15000000 - $ 24999999,James E. Roberts - Obayashi Corp.,SANTA CLARA,2025-08-01,,Apartments/Condominiums 4  Stories,First Community Housing,4082918650.0,New Project,17965 Monterey Hwy,MORGAN HILL,9258200600.0,20 Oak Ct,Danville,,CONTRA COSTA,,,N,http://www.jerocorp.com,,,,
Villa-Chiquita city Park Construction,$ 1592688,,SANTA CLARA,2025-08-01,,Site Development,City of Mountain View,6509036300.0,"Alterations, New Project",1700 Villa St 94041,Mountain View,,,,,,,Design-Bid-Build,Y,,,,,
House,$ 556355,,SOLANO,,,Sale/Spec Homes,One Lake Holding LLC,,New Project,6012 Big Sky Dr,Fairfield,,,,,,,,,,,,,
Pine Flat Road PM 11.50 Storm Damage Repair IQC,$ 500000 - $ 749999,,SONOMA,2025-08-01,,Storm Sewer,County of Sonoma,7075652550.0,"Alterations, New Project",Pine Rd,Santa Rosa,,,,,,,Design-Bid-Build,Y,,,,,
House,$ 549667,,SOLANO,,,Sale/Spec Homes,One Lake Holding LLC,,New Project,6004 Big Sky Dr,Fairfield,,,,,,,,,,,,,
Miles Lane Sewer Pump Station Rehabilitation REBID,$ 800000,,SANTA CRUZ,2025-08-01,,Sewage Treatment Plant,City of Watsonville,8317683102.0,"Alterations, New Project",Miles Ln,WATSONVILLE,,,,,,,Design-Bid-Build,Y,,,,,
House,$ 552082,,SOLANO,,,Sale/Spec Homes,One Lake Holding LLC,,New Project,6003 Big Sky Dr,Fairfield,,,,,,,,,,,,,
Trillium Senior Housing - Design/Build,$ 15000000 - $ 24999999,Nibbi Brothers General Contractors,SANTA CLARA,2025-11-01,,Apartments/Condominiums 4  Stories,,,New Project,675 E Santa Clara St,SAN JOSE,4158631820.0,1000 Brannan St Ste 102,San Francisco,,SAN FRANCISCO,info@nibbi.com,Design/Build,N,http://www.nibbi.com,,,,
New Bus Parking Lot and Solar Canopy,$ 3674402,"Ghilotti Bros., Inc.",MARIN,2025-06-01,2025-12-01,Sidewalk/Parking Lot,Marin County Transit District,4152260867.0,"Alterations, New Project",3010 Kerner Blvd 3020 Kerner Blvd,SAN RAFAEL,4154547011.0,525 Jacoby St,San Rafael,,MARIN,sarahk@gbi1914.com,Design-Bid-Build,Y,http://www.ghilottibros.com,,,,
Utility Trench Substructure Installation IQC,$ 10100186,MP Nexlevel,SANTA CLARA,2025-07-01,,Communication Lines,City of Palo Alto Public Works,6503292271.0,New Project,,Palo Alto,3209632851.0,500 County Road 37,Maple Lake,,WRIGHT,fbrezinka@mpnexlevel.com,Design-Bid-Build,N,https://mpnexlevel.com/,MADE CONTACT,,,
House,$ 650000,,SANTA CLARA,,,Sale/Spec Homes,Mundy Creative Svcs,,New Project,1538 Melba Ct,Mountain View,,,,,,,,,,,,,
850 Turk Street Affordable Housing & Mixed Use Building,$ 25000000 - $ 49999999,Cahill Contractors,SAN FRANCISCO,2025-06-01,2027-07-01,Apartments/Condominiums 4  Stories,MidPen Housing,6503562900.0,New Project,850 Turk St,SAN FRANCISCO,4159860600.0,425 California St Ste 2200,San Francisco,,SAN FRANCISCO,info@cahill-sf.com,Design-Bid-Build,Y,https://cahill-sf.com/,,,,
Hacienda Lift Station Replacement,$ 3034080,,SAN MATEO,2025-08-01,,Sewage Treatment Plant,City of Millbrae,6502592414.0,"Alterations, New Project",873 Hacienda Way,MILLBRAE,,,,,,,Design-Bid-Build,Y,,,,,
New Town Hall Resilience Hub,$ 1062000,Renewable Energy Solutions,MARIN,2025-05-01,2025-08-01,Vehicle Sales/Service,"San Anselmo, Town of",4152584618.0,New Project,8-20 Magnolia Ave,SAN RAFAEL,,5625 RUFFIN RD,SAN DIEGO,,SAN DIEGO,,Design/Build,N,,,,,
Tesla Center,$ 11888382,Tilton Pacific Construction,SANTA CLARA,2025-06-01,,Vehicle Sales/Service,Evergreen Circle LLC,,New Project,2371 S Evergreen Loop,SAN JOSE,9166307200.0,4150 Citrus Ave,Rocklin,,PLACER,rschroeder@tiltonpacific.com,,N,http://www.tiltonpacific.com,,,,
Sierra/Mojave Multiple Award Task REBID MATOC,$ 45000000,,SAN FRANCISCO,2025-08-01,,Miscellaneous Recreational,National Park Service,6179391144.0,"Alterations, New Project",Various Locations,San Francisco,,,,,,,Design-Bid-Build,Y,,,,,
Golden Gate Low Income Apartments Phase I & II - D/B,$ 25000000 - $ 49999999,,SAN FRANCISCO,2025-06-01,2027-07-01,Apartments/Condominiums 4  Stories,MidPen Housing,6503562900.0,"Additions, New Project",750 Golden Gate Ave,SAN FRANCISCO,,,,,,,Design-Bid-Build,Y,,REACH OUT,,,
San Jose City College Mens Locker Room Demolition,$ 3498000,,SANTA CLARA,2025-08-01,,College/University,San Jose Evergreen Community College District,4082746700.0,"Alterations, New Project",2100 Moorpark Avenue,San Jose,,,,,,,Design-Bid-Build,Y,,,,,
The Grove At Los Gatos Senior Living,$ 20000000,Blue Mountain Construction Services - HVAC,SANTA CLARA,2025-07-01,,Elderly/Assisted Living,Oaks at Los Gatos LP,,New Project,400 Blossom Hill Rd,LOS GATOS,7074518111.0,707 Aldridge Rd,Vacaville,,SOLANO,jklusnick@bluemountaininc.net,,Y,https://www.bluemountainair.net/builders/hvac,,,,
SFO Station BB 12Kv Infrastructure Reconfiguration,$ 9176000,,SAN MATEO,2025-08-01,,Electric Substation,San Francisco International Airport,6508217734.0,"Alterations, New Project",San Francisco International Airport,SAN FRANCISCO,,,,,,,Design-Bid-Build,Y,,,,,
San Francisco Fire Department Training Facility -D/B,$ 145000000,,SAN FRANCISCO,2025-11-01,2028-11-01,Vocational School,City & County of San Francisco,4158312740.0,New Project,1236 Carroll Ave,SAN FRANCISCO,,,,,,,Construction Management at Risk,Y,,,,,
Electric Vehicle Charging Parking Stalls Install,$ 566976,Ferranti Construction,MENDOCINO,2025-05-01,2025-09-01,Vehicle Sales/Service,County of Mendocino General Services Dept,7072346068.0,New Project,501 Low Gap Rd 727 South State Street,UKIAH,7074850095.0,2350 Rancheria Rd,Redwood Valley,,MENDOCINO,,Design-Bid-Build,Y,,,,,
Novato Creek Main Interceptor Sewer No. 2 Repair,$ 547840,,MARIN,2025-08-01,,Sanitary Sewer,Novato Sanitary District,4158921694.0,"Alterations, New Project",Novato Creek,NOVATO,,,,,,,Design-Bid-Build,Y,,,,,
Helen Myers Way & Park Way Alley Downtown Alley Rehab,$ 4709711,"Ghilotti Bros., Inc.",CONTRA COSTA,2025-08-01,,Water Line,City of Brentwood,9255165400.0,New Project,Helen Myers Way Park Way alley,BRENTWOOD,4154547011.0,525 Jacoby St,San Rafael,,MARIN,sarahk@gbi1914.com,Design-Bid-Build,Y,http://www.ghilottibros.com,,,,
Stanford Health Care Block E Medical Office Building,$ 115000000,Level 10 Construction,SAN MATEO,2025-06-01,2027-11-01,Clinic/Medical Office,Stanford University Medical Center,6507237792.0,New Project,550 Broadway,REDWOOD CITY,4087475000.0,1050 Enterprise Way Ste 250,Sunnyvale,,SANTA CLARA,bids@level10gc.com,Construction Management at Risk,N,http://www.level10gc.com,,,,
New Residential Building,$ 2668766,,SANTA CLARA,2025-02-01,,Sale/Spec Homes,Toll Brothers Inc,7143471300.0,New Project,19621 Juniper Lp,MORGAN HILL,,,,,,,,N,,,,,
Pacific Beach Roundabout Enhancements,$ 743243,,SANTA CRUZ,2025-08-01,,Paving,City of Santa Cruz,8314205160.0,"Alterations, New Project",Beach St,SANTA CRUZ,,,,,,,Design-Bid-Build,N,,,,,
Napa County Various Locations Paving Improvements,$ 4397141,Team Ghilotti,NAPA,2025-08-01,,Paving,Napa County Dept of Public Works,7072534351.0,"Alterations, New Project",BIG RANCH Various locations,NAPA,7077638700.0,2531 Petaluma Blvd S,Petaluma,,SONOMA,abelc@teamghilotti.com,Design-Bid-Build,N,https://teamghilotti.com/,,,,
Mt. Veeder Road MPM 5.20 Reconstruction,$ 1637242,Rehak General Engineering,NAPA,2025-07-01,,Paving,Napa County Dept of Public Works,7072534351.0,"Alterations, New Project",Mt Veeder Rd,NAPA,8312416370.0,550 Hartnell St Ste H,Monterey,Thomas Rehak,MONTEREY,tr.rgellc@gmail.com,Design-Bid-Build,N,,,,,
